지점,년도,복숭아_발아,복숭아_발아(평비),복숭아_개화,복숭아_개화(평비),복숭아_만발,복숭아_만발(평비),개화,만발,연도,차이
울산,2016,2016-03-23,4일,2016-03-30,-1일,2016-04-14,,2016-03-30,2016-04-14 0:00,2016,15
울산,2017,2017-03-22,3일,2017-04-02,2일,2017-04-07,,2017-04-02,2017-04-07 0:00,2017,5
울산,2018,2018-03-23,4일,2018-04-04,4일,2018-04-08,,2018-04-04,2018-04-08 0:00,2018,4
울산,2019,2019-03-19,0일,2019-03-25,-6일,2019-03-27,,2019-03-25,2019-03-27 0:00,2019,2
울산,2020,2020-03-20,1일,2020-03-25,-6일,2020-03-29,,2020-03-25,2020-03-29 0:00,2020,4
울산,2021,2021-03-16,-3일,2021-03-26,-5일,2021-03-29,,2021-03-26,2021-03-29 0:00,2021,3
울산,2022,2022-03-26,7일,2022-04-03,3일,2022-04-08,,2022-04-03,2022-04-08 0:00,2022,5
울산,2023,2023-03-18,-1일,2023-03-26,-5일,2023-03-28,,2023-03-26,2023-03-28 0:00,2023,2
울산,2024,2024-03-17,-2일,2024-03-31,0일,2024-04-04,,2024-03-31,2024-04-04 0:00,2024,4
백령도,2015,2015-04-17,2일,2015-05-07,6일,2015-05-13,,2015-05-07,2015-05-13 0:00,2015,6
백령도,2016,2016-04-21,6일,2016-05-03,2일,2016-05-16,,2016-05-03,2016-05-16 0:00,2016,13
백령도,2017,2017-04-07,-8일,2017-04-18,-13일,2017-04-30,,2017-04-18,2017-04-30 0:00,2017,12
백령도,2018,2018-04-05,-10일,2018-04-16,-15일,2018-04-29,,2018-04-16,2018-04-29 0:00,2018,13
백령도,2019,2019-04-01,-14일,2019-04-13,-18일,2019-04-25,,2019-04-13,2019-04-25 0:00,2019,12
백령도,2020,2020-03-31,-15일,2020-04-10,-21일,2020-04-21,,2020-04-10,2020-04-21 0:00,2020,11
백령도,2021,2021-04-01,-14일,2021-04-20,-11일,2021-04-29,,2021-04-20,2021-04-29 0:00,2021,9
백령도,2022,2022-04-09,-6일,2022-04-25,-6일,2022-05-10,,2022-04-25,2022-05-10 0:00,2022,15
백령도,2023,2023-03-30,-16일,2023-04-19,-12일,2023-04-27,,2023-04-19,2023-04-27 0:00,2023,8
백령도,2024,2024-04-05,-10일,2024-04-18,-13일,2024-04-22,,2024-04-18,2024-04-22 0:00,2024,4
인천,2015,2015-04-01,-2일,2015-04-12,-5일,2015-04-18,-1일,2015-04-12,2015-04-18 0:00,2015,6
인천,2016,2016-04-02,-1일,2016-04-08,-9일,2016-04-15,-4일,2016-04-08,2016-04-15 0:00,2016,7
인천,2017,2017-04-06,3일,2017-04-10,-7일,2017-04-15,-4일,2017-04-10,2017-04-15 0:00,2017,5
인천,2018,2018-04-06,3일,2018-04-14,-3일,2018-04-19,0일,2018-04-14,2018-04-19 0:00,2018,5
인천,2019,2019-04-08,5일,2019-04-12,-5일,2019-04-17,-2일,2019-04-12,2019-04-17 0:00,2019,5
인천,2020,2020-03-31,-3일,2020-04-05,-12일,2020-04-08,-11일,2020-04-05,2020-04-08 0:00,2020,3
인천,2021,2021-03-31,-3일,2021-04-04,-13일,2021-04-08,-11일,2021-04-04,2021-04-08 0:00,2021,4
인천,2022,2022-04-04,1일,2022-04-15,-2일,2022-04-21,2일,2022-04-15,2022-04-21 0:00,2022,6
인천,2023,2023-04-03,0일,2023-04-14,-3일,2023-04-20,1일,2023-04-14,2023-04-20 0:00,2023,6
인천,2024,2024-04-02,-1일,2024-04-12,-5일,2024-04-15,-4일,2024-04-12,2024-04-15 0:00,2024,3
목포,2015,2015-03-28,4일,2015-04-08,1일,2015-04-12,0일,2015-04-08,2015-04-12 0:00,2015,4
목포,2016,2016-03-25,1일,2016-04-07,0일,2016-04-14,2일,2016-04-07,2016-04-14 0:00,2016,7
목포,2017,2017-03-18,-6일,2017-04-10,3일,2017-04-16,4일,2017-04-10,2017-04-16 0:00,2017,6
목포,2018,2018-03-20,-4일,2018-04-02,-5일,2018-04-04,-8일,2018-04-02,2018-04-04 0:00,2018,2
목포,2019,2019-03-19,-5일,2019-03-31,-7일,2019-04-05,-7일,2019-03-31,2019-04-05 0:00,2019,5
목포,2020,2020-03-05,-19일,2020-03-25,-13일,2020-03-28,-15일,2020-03-25,2020-03-28 0:00,2020,3
목포,2021,2021-03-08,-16일,2021-03-26,-12일,2021-03-29,-14일,2021-03-26,2021-03-29 0:00,2021,3
목포,2022,2022-03-15,-9일,2022-04-01,-6일,2022-04-05,-7일,2022-04-01,2022-04-05 0:00,2022,4
목포,2023,2023-03-15,-9일,2023-03-29,-9일,2023-04-02,-10일,2023-03-29,2023-04-02 0:00,2023,4
목포,2024,2024-03-13,-11일,2024-03-29,-9일,2024-04-02,-10일,2024-03-29,2024-04-02 0:00,2024,4
순천,2015,2015-03-20,,2015-04-03,,,,2015-04-03,,2015,
여수,2015,2015-03-20,5일,2015-04-01,-1일,2015-04-07,-1일,2015-04-01,2015-04-07 0:00,2015,6
여수,2016,2016-03-10,-5일,2016-04-01,-1일,2016-04-08,0일,2016-04-01,2016-04-08 0:00,2016,7
여수,2017,2017-03-14,-1일,2017-04-03,1일,2017-04-08,0일,2017-04-03,2017-04-08 0:00,2017,5
여수,2018,2018-03-16,1일,2018-03-30,-3일,2018-04-03,-5일,2018-03-30,2018-04-03 0:00,2018,4
여수,2019,2019-03-07,-8일,2019-03-27,-6일,2019-03-31,-8일,2019-03-27,2019-03-31 0:00,2019,4
여수,2020,2020-03-20,5일,2020-04-01,-1일,2020-04-03,-5일,2020-04-01,2020-04-03 0:00,2020,2
여수,2021,2021-03-19,4일,2021-03-26,-7일,2021-03-29,-10일,2021-03-26,2021-03-29 0:00,2021,3
여수,2022,2022-03-15,0일,2022-03-30,-3일,2022-04-05,-3일,2022-03-30,2022-04-05 0:00,2022,6
여수,2023,2023-03-21,6일,2023-03-25,-8일,2023-03-29,-10일,2023-03-25,2023-03-29 0:00,2023,4
여수,2024,2024-03-27,12일,2024-03-31,-2일,2024-04-04,-4일,2024-03-31,2024-04-04 0:00,2024,4
